Price,Area,Locality,Year
7533000,2200 sqft,Kothaguda,2018-2019
9234000,1840 sqft,"GachibowliCUC,OuterRingRoad",2018-2019
6075000,1525 sqft,"Hafeezpet,NH",2018-2019
2430000,1477 sqft,"KukatpallyHousingBoardColony,NH",2018-2019
4009500,1250 sqft,Attapur,2018-2019
3159000,1477 sqft,LakshmiNagarColony-HanumanNagarColony,2018-2019
6075000,1477 sqft,Gachibowli,2018-2019
12150000,2259 sqft,"LodhaMeridian,KPHBPhase",2018-2019
8748000,1365 sqft,"MagnamOpus,Gachibowli,OuterRingRoad",2018-2019
7290000,1314 sqft,"MyHomeAvatar,Narsingi,OuterRingRoad",2018-2019
7776000,1925 sqft,"SMRVinayFountainhead,Hyderabad",2018-2019
2430000,800 sqft,"BaghAmberpet,Amberpet,NH",2018-2019
3888000,1400 sqft,Attapur,2018-2019
4617000,1600 sqft,"AakritiHoneydew,Tellapur,OuterRingRoad",2018-2019
4252500,1500 sqft,"Kukatpally,NH",2018-2019
4860000,1800 sqft,"HillCountyTownship,Bachupally,OuterRingRoad",2018-2019
3159000,810 sqft,Serilingampally,2018-2019
6318000,1450 sqft,"ProjectGoldenHabitat,Madhapur",2018-2019
9720000,2192 sqft,"WesternExoticaProject,Kothaguda",2018-2019
6318000,1800 sqft,"AdityaImperialHeights,Hafeezpet,NH",2018-2019
4374000,1400 sqft,Haripuricolony,2018-2019
3645000,768 sqft,"Manikonda,OuterRingRoad",2018-2019
3645000,1700 sqft,Aminpur,2018-2019
12150000,2800 sqft,"BanjaraHills,NH",2018-2019
4374000,1740 sqft,"APSEBColony,Hastinapuram",2018-2019
4374000,1575 sqft,"SilverSpring,Narsingi,OuterRingRoad",2018-2019
2430000,1250 sqft,"Bachupally,OuterRingRoad",2018-2019
3159000,1100 sqft,Attapur,2018-2019
6075000,1800 sqft,"BhavyasAkhilaExotica,Kukatpally,NH",2018-2019
3645000,1700 sqft,"SriMahalakshmiResidency,Attapur",2018-2019
4374000,850 sqft,"Lakdikapul,NH",2018-2019
5832000,1650 sqft,"SriNainasSunrise,Manikonda,OuterRingRoad",2018-2019
4131000,1200 sqft,Balkampet,2018-2019
4009500,1000 sqft,Puppalaguda,2018-2019
10935000,2192 sqft,"WesternExoticaProject,Kothaguda",2018-2019
5589000,1525 sqft,"APGOsCoopHSGSociety,Hafeezpet",2018-2019
3402000,1150 sqft,ToliChowki,2018-2019
5589000,1775 sqft,Hyderaguda-Attapur,2018-2019
