Price,Area,Locality,Year
10900000,1695,Kukatpally,2019-2020
13000000,1945,Kokapet,2019-2020
3650000,1000,Nizampet,2019-2020
8625000,1150,Hitech City,2019-2020
7500000,1330,Kondakal,2019-2020
20000000,2250,Kondapur,2019-2020
10000000,2240,Tellapur,2019-2020
45000000,4500,Banjara Hills,2019-2020
45000000,4500,Banjara Hills,2019-2020
45000000,4500,Banjara Hills,2019-2020
3300000,800,Gajularamaram,2019-2020
3300000,800,Gajularamaram,2019-2020
3300000,800,Gajularamaram,2019-2020
3300000,800,Gajularamaram,2019-2020
5635000,1150,Chandanagar,2019-2020
12900000,1840,Nanakramguda,2019-2020
7800000,1560,Gopanpally,2019-2020
6300000,1300,Serilingampally,2019-2020
28000000,3200,Somajiguda,2019-2020
30000000,2950,Banjara Hills,2019-2020
30000000,2950,Banjara Hills,2019-2020
12500000,1699,Gachibowli,2019-2020
6583000,1254,Nagole,2019-2020
8977000,1710,Nagole,2019-2020
35500000,4067,Kukatpally,2019-2020
7500000,1320,Uppal Kalan,2019-2020
7000000,1605,Puppalaguda,2019-2020
14500000,2120,Madhapur,2019-2020
13500000,1860,Nallagandla Gachibowli,2019-2020
13500000,1860,Nallagandla Gachibowli,2019-2020
2700000,1050,Krishna Reddy Pet,2019-2020
8990000,1550,Miyapur,2019-2020
27500000,3090,Hitech City,2019-2020
66400000,6718,Gachibowli,2019-2020
7500000,1195,Kondapur,2019-2020
5700000,1230,AS Rao Nagar,2019-2020
33000000,2956,Banjara Hills,2019-2020
33000000,2956,Banjara Hills,2019-2020
5500000,1076,LB Nagar,2019-2020
3578000,842,Bolarum,2019-2020
7800000,1200,Miyapur,2019-2020
52000000,4500,Jubilee Hills,2019-2020
52000000,4500,Jubilee Hills,2019-2020
40000000,3600,Jubilee Hills,2019-2020
40000000,3600,Jubilee Hills,2019-2020
36700000,3500,Banjara Hills,2019-2020
36700000,3500,Banjara Hills,2019-2020
8600000,1150,Madhapur,2019-2020
9000000,1150,Hitech City,2019-2020
9000000,1150,Hitech City,2019-2020
9877000,1245,Nanakramguda,2019-2020
13000000,1600,Nanakramguda,2019-2020
18800000,2270,Nanakramguda,2019-2020
6000000,1200,Manikonda,2019-2020
7000000,1418,Puppalaguda,2019-2020
9984000,1920,Miyapur,2019-2020
10000000,1925,Miyapur,2019-2020
9906000,1905,Miyapur,2019-2020
5500000,850,Gachibowli,2019-2020
8000000,1940,Nizampet,2019-2020
8600000,1150,Hitech City,2019-2020
11100000,1730,Kukatpally,2019-2020
11100000,1730,Kukatpally,2019-2020
4200000,1050,Mehdipatnam,2019-2020
4200000,1050,Mehdipatnam,2019-2020
14500000,1908,Kondapur,2019-2020
7098999,1090,Kukatpally,2019-2020
8953000,1905,Bachupally,2019-2020
7872000,1675,Bachupally,2019-2020
7590000,1615,Bachupally,2019-2020
5452000,1160,Bachupally,2019-2020
8459000,1800,Bachupally,2019-2020
5640000,1200,Bachupally,2019-2020
4500000,908,Mallapur,2019-2020
4830000,1100,Kukatpally,2019-2020
4900000,1380,Mehdipatnam,2019-2020
6000000,970,Hitech City,2019-2020
4500000,1160,Mallapur,2019-2020
4299000,840,Masab Tank,2019-2020
4750000,1100,Zamistanpur,2019-2020
4200000,931,Madhura Nagar,2019-2020
12500000,1670,Jubilee Hills,2019-2020
12000000,2000,Kukatpally,2019-2020
12000000,2000,Kukatpally,2019-2020
8298999,1554,Miyapur,2019-2020
8898000,1650,Miyapur,2019-2020
7998999,1554,Miyapur,2019-2020
23000000,1900,Jubilee Hills,2019-2020
22900000,1900,Jubilee Hills,2019-2020
23000000,1900,Jubilee Hills,2019-2020
23000000,1900,Jubilee Hills,2019-2020
14500000,1740,Kukatpally,2019-2020
20000000,3145,Madhapur,2019-2020
2800000,963,Beeramguda,2019-2020
3500000,909,Ghansi Bazaar,2019-2020
3500000,850,Chintalakunta,2019-2020
4700000,950,Chinthal Basthi,2019-2020
11399999,1730,Kukatpally,2019-2020
6931000,1555,Gajularamaram,2019-2020
5256000,1180,Gajularamaram,2019-2020
11100000,1675,Kukatpally,2019-2020
5300000,845,Nallakunta,2019-2020
4500000,1100,Bowenpally,2019-2020
14600000,1905,Nallakunta,2019-2020
11200000,1460,Nallakunta,2019-2020
11200000,1460,Nallakunta,2019-2020
4200000,1175,Malkajgiri,2019-2020
4900000,1360,Kompally,2019-2020
7554000,1220,Kondapur,2019-2020
11399999,1885,Kondapur,2019-2020
7240000,1165,Kondapur,2019-2020
9600000,1295,Jubilee Hills,2019-2020
9600000,1295,Jubilee Hills,2019-2020
9600000,1295,Jubilee Hills,2019-2020
9600000,1295,Jubilee Hills,2019-2020
9600000,1295,Jubilee Hills,2019-2020
10200000,1295,Jubilee Hills,2019-2020
12500000,1670,Jubilee Hills,2019-2020
12500000,1670,Jubilee Hills,2019-2020
4800000,1200,Bandlaguda Jagir,2019-2020
4800000,1200,Bandlaguda Jagir,2019-2020
12500000,1670,Jubilee Hills,2019-2020
16800000,2460,Nanakramguda,2019-2020
4000000,1040,Saroornagar,2019-2020
3600000,1107,Beeramguda,2019-2020
6000000,1050,Begumpet,2019-2020
6000000,1050,Begumpet,2019-2020
33300000,2900,Banjara Hills,2019-2020
8625000,1150,Hitech City,2019-2020
4000000,1040,Saroornagar,2019-2020
3600000,1107,Beeramguda,2019-2020
4000000,850,Beeramguda,2019-2020
6000000,1050,Begumpet,2019-2020
6000000,1050,Begumpet,2019-2020
3500000,1080,Beeramguda,2019-2020
3500000,1080,Beeramguda,2019-2020
2300000,1100,Boduppal,2019-2020
2300000,1100,Boduppal,2019-2020
12000000,1745,Somajiguda,2019-2020
2500000,970,Nagole,2019-2020
5777000,1090,Kukatpally,2019-2020
7605000,1435,Kukatpally,2019-2020
2600000,684,Beeramguda,2019-2020
4500000,1040,Beeramguda,2019-2020
3000000,850,Beeramguda,2019-2020
3200000,1150,Beeramguda,2019-2020
7000000,1605,Neknampur,2019-2020
3000000,850,Beeramguda,2019-2020
3200000,1150,Beeramguda,2019-2020
7000000,1605,Neknampur,2019-2020
5500000,1000,Mallapur,2019-2020
5777000,1090,Kukatpally,2019-2020
7605000,1435,Kukatpally,2019-2020
8502000,1635,Nagole,2019-2020
8242000,1585,Nagole,2019-2020
11000000,1730,Appa Junction Peerancheru,2019-2020
10700000,1665,Appa Junction Peerancheru,2019-2020
9240000,1482,Appa Junction Peerancheru,2019-2020
8800000,1385,Appa Junction Peerancheru,2019-2020
3400000,1000,Ambedkar Nagar,2019-2020
9500000,1035,Gachibowli,2019-2020
4700000,1250,Toli Chowki,2019-2020
4700000,1250,Toli Chowki,2019-2020
5000000,1000,Hafeezpet,2019-2020
4788000,1260,Saroornagar,2019-2020
2880000,950,Beeramguda,2019-2020
5500000,850,Gachibowli,2019-2020
8500000,1260,Nanakramguda,2019-2020
5500000,1050,Saroornagar,2019-2020
4400000,1250,Bachupally,2019-2020
14000000,1908,Kondapur,2019-2020
6931000,1555,Gajularamaram,2019-2020
12000000,1720,Narsingi,2019-2020
7540000,1327,Rajendra Nagar,2019-2020
6290000,1110,Rajendra Nagar,2019-2020
5290000,941,Rajendra Nagar,2019-2020
5580000,1200,Boduppal,2019-2020
4300000,1200,Manikonda,2019-2020
5560000,1390,Vanasthalipuram,2019-2020
2400000,540,Amberpet,2019-2020
12500000,1717,Gachibowli,2019-2020
12500000,1717,Gachibowli,2019-2020
3570000,900,Mehdipatnam,2019-2020
12600000,2150,Bandlaguda Jagir,2019-2020
4800000,810,Moula Ali,2019-2020
11600000,1985,Bandlaguda Jagir,2019-2020
9563000,1555,Kondapur,2019-2020
4800000,810,Moula Ali,2019-2020
11600000,1985,Bandlaguda Jagir,2019-2020
9563000,1555,Kondapur,2019-2020
3600000,1050,Mehdipatnam,2019-2020
4500000,1014,Mallapur,2019-2020
3900000,1085,Kompally,2019-2020
5800000,1100,Kompally,2019-2020
3500000,1050,Nizampet,2019-2020
3500000,1050,Nizampet,2019-2020
11399999,1860,Kukatpally,2019-2020
11399999,1860,Kukatpally,2019-2020
35000000,3000,Banjara Hills,2019-2020
35000000,3000,Banjara Hills,2019-2020
4500000,955,Nallagandla Gachibowli,2019-2020
4500000,1155,Gandipet,2019-2020
3500000,1120,Nizampet,2019-2020
3500000,850,Nizampet,2019-2020
3800000,1000,Kachiguda,2019-2020
3800000,1000,Kachiguda,2019-2020
3800000,1000,Kachiguda,2019-2020
3800000,1000,Kachiguda,2019-2020
3800000,1000,Kachiguda,2019-2020
3960000,966,Narsingi,2019-2020
3800000,1000,Kachiguda,2019-2020
3800000,1000,Kachiguda,2019-2020
4100000,1050,Mehdipatnam,2019-2020
5500000,1575,Alwal,2019-2020
9600000,1700,Nacharam,2019-2020
9600000,1700,Nacharam,2019-2020
6795000,1535,Pragathi Nagar Kukatpally,2019-2020
3600000,940,Nizampet,2019-2020
3400000,1060,Nizampet,2019-2020
3500000,1015,Nizampet,2019-2020
3500000,1015,Nizampet,2019-2020
5000000,1600,Narsingi,2019-2020
7000000,1150,Kondapur,2019-2020
5500000,1500,Narsingi,2019-2020
3870000,1000,Nizampet,2019-2020
5800000,1208,Kompally,2019-2020
4700000,1000,Toli Chowki,2019-2020
7000000,1150,Kondapur,2019-2020
5500000,1500,Narsingi,2019-2020
11299999,1700,Kukatpally,2019-2020
4500000,1170,Masab Tank,2019-2020
7317000,1090,Kukatpally,2019-2020
7317000,1090,Kukatpally,2019-2020
3800000,1050,Nizampet,2019-2020
4850000,1425,Malkajgiri,2019-2020
4010000,1060,Bolarum,2019-2020
3550000,1130,Bachupally,2019-2020
3300000,930,Nizampet,2019-2020
3500000,1085,Nizampet,2019-2020
7500000,1420,Toli Chowki,2019-2020
4600000,1120,Nizampet,2019-2020
8500000,1506,Appa Junction,2019-2020
8500000,1506,Appa Junction,2019-2020
5500000,1650,Nagole,2019-2020
5500000,1650,Nagole,2019-2020
3900000,1200,Nizampet,2019-2020
4580000,1145,Alwal,2019-2020
10800000,1875,Kokapet,2019-2020
15200000,2540,Kokapet,2019-2020
15200000,2630,Kokapet,2019-2020
4580000,1145,Alwal,2019-2020
15000000,2450,Kondapur,2019-2020
5700000,1425,Alwal,2019-2020
7200000,1720,Mehdipatnam,2019-2020
20000000,2405,Nanakramguda,2019-2020
8797000,1725,Chandanagar,2019-2020
10500000,1730,Kukatpally,2019-2020
43000000,4070,Madhapur,2019-2020
10000000,2000,Miyapur,2019-2020
10000000,1295,Kondapur,2019-2020
12000000,1490,Kondapur,2019-2020
10700000,1905,Miyapur,2019-2020
10700000,1905,Miyapur,2019-2020
7900000,1525,Kondapur,2019-2020
4900000,1120,Manikonda,2019-2020
3800000,1080,Qutub Shahi Tombs,2019-2020
4000000,950,Toli Chowki,2019-2020
13500000,2700,Manikonda,2019-2020
10000000,1755,Narsingi,2019-2020
10000000,1755,Narsingi,2019-2020
6200000,1216,Puppalaguda,2019-2020
7000000,1210,Nallagandla Gachibowli,2019-2020
7900000,1525,Kondapur,2019-2020
6700000,1340,Puppalaguda,2019-2020
6200000,1216,Puppalaguda,2019-2020
8452000,1725,Chandanagar,2019-2020
20000000,2070,Banjara Hills,2019-2020
30200000,3025,Banjara Hills,2019-2020
12500000,1670,Jubilee Hills,2019-2020
8200000,1150,East Marredpally,2019-2020
6900000,1150,Kondapur,2019-2020
9026000,1600,Narsingi,2019-2020
18200000,2786,Narsingi,2019-2020
8500000,1525,Kondapur,2019-2020
6531000,1555,Gajularamaram,2019-2020
8095000,1315,Kondapur,2019-2020
14000000,2050,Kondapur,2019-2020
10200000,1675,Kukatpally,2019-2020
10000000,1725,Gandipet,2019-2020
10700000,1770,Kondapur,2019-2020
24000000,3200,Jubilee Hills,2019-2020
22000000,1900,Jubilee Hills,2019-2020
21400000,1880,Kondapur,2019-2020
16000000,2050,Kondapur,2019-2020
36500000,3600,Nanakramguda,2019-2020
15000000,2665,Gandipet,2019-2020
8500000,1216,Kukatpally,2019-2020
28000000,3031,Banjara Hills,2019-2020
15500000,2220,Kokapet,2019-2020
32500000,3448,Gachibowli,2019-2020
20700000,3015,Madhapur,2019-2020
10500000,1430,Gachibowli,2019-2020
28000000,2007,Abids,2019-2020
10300000,1695,Kukatpally,2019-2020
11000000,1815,Kondapur,2019-2020
9991000,1630,Kondapur,2019-2020
8014000,1620,Chandanagar,2019-2020
4000000,1200,Kistareddypet,2019-2020
12500000,1650,West Marredpally,2019-2020
8925000,1550,Kukatpally,2019-2020
9296000,1535,Kondapur,2019-2020
7598999,1165,Kondapur,2019-2020
8500000,1400,Malkajgiri,2019-2020
20000000,2600,Somajiguda,2019-2020
5250000,1100,Miyapur,2019-2020
4000000,1010,Malkajgiri,2019-2020
7500000,1195,Kondapur,2019-2020
5253000,970,Kukatpally,2019-2020
5800000,1050,Kompally,2019-2020
5085000,1130,Alwal,2019-2020
12000000,2300,Bolarum,2019-2020
3500000,1015,Alwal,2019-2020
25500000,2960,Shaikpet,2019-2020
6500000,1190,Mallapur,2019-2020
6000000,1190,Mallapur,2019-2020
6700000,1340,Puppalaguda,2019-2020
16000000,1875,Shaikpet,2019-2020
23000000,1900,Jubilee Hills,2019-2020
19500000,1920,West Marredpally,2019-2020
5320000,1330,Alwal,2019-2020
19500000,2350,Hitech City,2019-2020
4800000,1120,Pragathi Nagar Kukatpally,2019-2020
13000000,1924,Madhapur,2019-2020
10200000,1575,Sri Nagar Colony,2019-2020
19500000,2350,Hitech City,2019-2020
20000000,3000,Dilsukh Nagar,2019-2020
5900000,1350,Quthbullapur,2019-2020
8500000,1580,Puppalaguda,2019-2020
6000000,1200,Malkajgiri,2019-2020
4710000,1050,Gajularamaram,2019-2020
7317000,1090,Kukatpally,2019-2020
11399999,1730,Kukatpally,2019-2020
9449000,1535,Kondapur,2019-2020
11299999,1700,Kukatpally,2019-2020
4000000,1050,Alwal,2019-2020
5450000,1300,Alwal,2019-2020
